,RMSE,MAE
Global Mean,1.0590202299158178,0.8381166154574359
Bias Model,0.8788320597023426,0.6680201697629814
ALS,0.8075098863757715,0.6276385263461496
ALS (Test),0.807448098381614,0.6277594417729309
